X,Y,ID,NAME,ADDRESS,CITY,STATE,TELEPHONE,TYPE,COUNTY,COUNTRY,LATITUDE,LONGITUDE,OWNER
-78.83114577,42.9250771,3214215,ERIE COUNTY MEDICAL CENTER,462 GRIDER ST,BUFFALO,NY,(716) 898-3000,GENERAL ACUTE CARE,ERIE,USA,42.9250771,-78.83114577,GOVERNMENT - DISTRICT/AUTHORITY
-73.55373801,40.72625551,6511554,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TPKE,EAST MEADOW,NY,(516) 572-0123,GENERAL ACUTE CARE,NASSAU,USA,40.72625551,-73.55373802,GOVERNMENT - DISTRICT/AUTHORITY
-73.80495477,41.08609075,15110532,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,(914) 493-7018,GENERAL ACUTE CARE,WESTCHESTER,USA,41.08609075,-73.80495477,GOVERNMENT - DISTRICT/AUTHORITY
-73.84751215,40.85629836,15210036,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,(212) 430-5235,GENERAL ACUTE CARE,BRONX,USA,40.85629836,-73.84751215,GOVERNMENT - LOCAL
-73.88105711,40.8803656,15610467,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,BRONX,NY,(718) 519-5000,GENERAL ACUTE CARE,BRONX,USA,40.8803656,-73.88105711,GOVERNMENT - LOCAL
-73.94469079,40.65661638,16411203,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVE,BROOKLYN,NY,(718) 245-2306,GENERAL ACUTE CARE,KINGS,USA,40.65661638,-73.94469079,GOVERNMENT - LOCAL
-73.96533243,40.58541438,16611235,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,(718) 616-3000,GENERAL ACUTE CARE,KINGS,USA,40.58541438,-73.96533243,GOVERNMENT - LOCAL
-73.99787756,40.69059527,16711201,LONG ISLAND COLLEGE HOSPITAL,339 HICKS ST,BROOKLYN,NY,(212) 256-3600,GENERAL ACUTE CARE,KINGS,USA,40.69059527,-73.99787756,GOVERNMENT - STATE
-73.88607966,40.74482736,19611373,ELMHURST HOSPITAL CENTER,79-01 BRDWAY,ELMHURST,NY,(718) 334-4000,GENERAL ACUTE CARE,QUEENS,USA,40.74482736,-73.88607967,GOVERNMENT - LOCAL
-73.97538175,40.7393201,114010016,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,(212) 562-4132,GENERAL ACUTE CARE,NEW YORK,USA,40.7393201,-73.97538175,GOVERNMENT - LOCAL
-73.93986126,40.81426493,116710037,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,(212) 939-1000,GENERAL ACUTE CARE,NEW YORK,USA,40.81426493,-73.93986126,GOVERNMENT - LOCAL
-73.6430084,40.74069748,120511501,WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,(516) 663-0333,GENERAL ACUTE CARE,NASSAU,USA,40.74069748,-73.6430084,GOVERNMENT - STATE
-77.34750919,42.34405241,10014810,VA MEDICAL CENTER - BATH,76 VETERANS AVE,BATH,NY,NOT AVAILABLE,MILITARY,STEUBEN,USA,42.34405241,-77.34750919,GOVERNMENT - FEDERAL
-77.26963606,42.90123744,10314424,VA MEDICAL CENTER - CANANDAIGUA,400 FORT HILL AVE,CANANDAIGUA,NY,NOT AVAILABLE,MILITARY,ONTARIO,USA,42.90123744,-77.26963606,GOVERNMENT - FEDERAL
-73.90638209,40.86734866,10610468,JAMES J. PETERS VA MEDICAL CENTER,130 W KINGSBRIDGE RD,BRONX,NY,NOT AVAILABLE,MILITARY,BRONX,USA,40.86734866,-73.90638209,GOVERNMENT - FEDERAL
-88.27061598,41.72900718,1360504,COPLEY MEMORIAL HOSPITAL,2000 OGDEN AVENUE,AURORA,IL,(630) 978-6200,GENERAL ACUTE CARE,KANE,USA,41.72900718,-88.27061598,GOVERNMENT - LOCAL
-96.63588688,28.96910475,17677957,JACKSON COUNTY HOSPITAL,1013 SOUTH WELLS STREET,EDNA,TX,(361) 782-7800,CRITICAL ACCESS,JACKSON,USA,28.96910475,-96.63588688,GOVERNMENT - DISTRICT/AUTHORITY
-85.33810656,37.36635176,10542718,TAYLOR REGIONAL HOSPITAL,1700 OLD LEBANON ROAD,CAMPBELLSVILLE,KY,(270) 465-3561,GENERAL ACUTE CARE,TAYLOR,USA,37.36635176,-85.33810656,GOVERNMENT - DISTRICT/AUTHORITY
-102.7575223,33.71973751,39179346,COCHRAN MEMORIAL HOSPITAL,201 EAST GRANT AVENUE,MORTON,TX,(806) 266-5565,CRITICAL ACCESS,COCHRAN,USA,33.71973751,-102.7575223,GOVERNMENT - DISTRICT/AUTHORITY
-95.96033181,35.66753235,16674447,MUSCOGEE (CREEK) NATION PHYSICAL REHABILITATION CENTER,900 EAST AIRPORT ROAD,OKMULGEE,OK,(918) 756-9211,REHABILITATION,OKMULGEE,USA,35.66753235,-95.96033181,GOVERNMENT - FEDERAL
-87.67439846,41.87233487,6260612,JOHN H STROGER JR HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,(312) 864-6000,GENERAL ACUTE CARE,COOK,USA,41.87233487,-87.67439846,GOVERNMENT - LOCAL
-87.61332387,41.80267501,13160615,PROVIDENT HOSPITAL OF CHICAGO,500 E 51ST ST,CHICAGO,IL,(312) 572-2000,GENERAL ACUTE CARE,COOK,USA,41.80267501,-87.61332387,GOVERNMENT - LOCAL
-81.80619,38.0482,1425130,BOONE MEMORIAL HOSPITAL,701 MADISON AVENUE,MADISON,WV,(304) 369-1230,CRITICAL ACCESS,BOONE,USA,38.0482,-81.80619,GOVERNMENT - LOCAL
-80.49630427,39.04114927,5026452,WILLIAM R SHARPE JR HOSPITAL,936 SHARPE HOSPITAL ROAD,WESTON,WV,(304) 269-1210,PSYCHIATRIC,LEWIS,USA,39.04114927,-80.49630427,GOVERNMENT - STATE
-76.14054445,43.04519375,171613210,HUTCHINGS PSYCHIATRIC CENTER,620 MADISON STREET,SYRACUSE,NY,(315) 426-3600,PSYCHIATRIC,ONONDAGA,USA,43.04519375,-76.14054445,GOVERNMENT - STATE
-95.75092529,34.93688174,6474501,MCALESTER REGIONAL HEALTH CENTER,ONE CLARK BASS BOULEVARD,MCALESTER,OK,(918) 426-1800,GENERAL ACUTE CARE,PITTSBURG,USA,34.93688174,-95.75092529,GOVERNMENT - LOCAL
-98.4745234,36.27598778,10973737,FAIRVIEW REGIONAL MEDICAL CENTER,523 EAST STATE ROAD,FAIRVIEW,OK,(580) 227-3721,CRITICAL ACCESS,MAJOR,USA,36.27598778,-98.47452341,GOVERNMENT - DISTRICT/AUTHORITY
-95.32085573,34.91947628,1874578,LATIMER COUNTY GENERAL HOSPITAL,806 HIGHWAY 2 NORTH,WILBURTON,OK,(918) 465-2391,GENERAL ACUTE CARE,LATIMER,USA,34.91947628,-95.32085573,GOVERNMENT - LOCAL
-87.45126672,36.86466922,12042240,WESTERN STATE HOSPITAL,2400 RUSSELLVILLE ROAD,HOPKINSVILLE,KY,(270) 889-6025,PSYCHIATRIC,CHRISTIAN,USA,36.86466922,-87.45126672,GOVERNMENT - STATE
-71.1368538,44.06181269,1903860,MEMORIAL HOSPITAL,3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,(603) 356-5461,GENERAL ACUTE CARE,CARROLL,USA,44.06181269,-71.1368538,GOVERNMENT - LOCAL
-99.31803877,34.63523975,4373521,JACKSON COUNTY MEMORIAL HOSPITAL,1200 EAST PECAN STREET,ALTUS,OK,(580) 482-4781,GENERAL ACUTE CARE,JACKSON,USA,34.63523975,-99.31803877,GOVERNMENT - DISTRICT/AUTHORITY
-97.96173288,35.04803417,2773018,GRADY MEMORIAL HOSPITAL,2220 WEST IOWA AVENUE,CHICKASHA,OK,(405) 224-2300,GENERAL ACUTE CARE,GRADY,USA,35.04803417,-97.96173288,GOVERNMENT - DISTRICT/AUTHORITY
-97.29949511,36.28839268,5473077,PERRY MEMORIAL HOSPITAL,501 NORTH 14TH STREET,PERRY,OK,(580) 336-3541,GENERAL ACUTE CARE,NOBLE,USA,36.28839268,-97.29949511,GOVERNMENT - DISTRICT/AUTHORITY
-98.43426071,34.60978544,1773505,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 WEST GORE BOULEVARD,LAWTON,OK,(580) 585-5511,GENERAL ACUTE CARE,COMANCHE,USA,34.60978544,-98.43426071,GOVERNMENT - DISTRICT/AUTHORITY
-98.43861928,34.60310119,13873505,JIM TALIAFERRO COMMUNITY MENTAL HEALTH CENTER,602 SW 38TH STREET,LAWTON,OK,(580) 248-5780,PSYCHIATRIC,COMANCHE,USA,34.60310119,-98.43861928,GOVERNMENT - STATE
-97.07510207,36.1150111,8974074,STILLWATER MEDICAL CENTER,1323 WEST SIXTH AVENUE,STILLWATER,OK,(405) 372-1480,GENERAL ACUTE CARE,PAYNE,USA,36.1150111,-97.07510207,GOVERNMENT - DISTRICT/AUTHORITY
-95.49665009,34.0123721,1574743,CHOCTAW MEMORIAL HOSPITAL,1405 EAST KIRK STREET,HUGO,OK,(580) 317-9500,GENERAL ACUTE CARE,CHOCTAW,USA,34.0123721,-95.49665009,GOVERNMENT - DISTRICT/AUTHORITY
-97.43929378,35.23041388,6773070,NORMAN REGIONAL HEALTH SYSTEM -NORMAN CAMPUS,901 NORTH PORTER STREET,NORMAN,OK,(405) 307-1000,GENERAL ACUTE CARE,CLEVELAND,USA,35.23041388,-97.43929378,GOVERNMENT - DISTRICT/AUTHORITY
-95.99984393,36.14670539,7374127,OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,744 WEST NINTH STREET,TULSA,OK,(918) 599-1000,GENERAL ACUTE CARE,TULSA,USA,36.14670539,-95.99984393,GOVERNMENT - LOCAL
-99.0136548,34.40377445,2673542,MEMORIAL HOSPITAL & PHYSICIAN GROUP,319 EAST JOSEPHINE AVENUE,FREDERICK,OK,(580) 335-7565,GENERAL ACUTE CARE,TILLMAN,USA,34.40377445,-99.0136548,GOVERNMENT - DISTRICT/AUTHORITY
-95.3924305,35.96152396,9974467,WAGONER COMMUNITY HOSPITAL,1200 WEST CHEROKEE STREET,WAGONER,OK,(918) 485-5514,GENERAL ACUTE CARE,WAGONER,USA,35.96152396,-95.3924305,GOVERNMENT - DISTRICT/AUTHORITY
-97.5015588,35.48077952,130473104,OU MEDICAL CENTER,700 NE 13TH STREET,OKLAHOMA CITY,OK,(405) 271-5911,GENERAL ACUTE CARE,OKLAHOMA,USA,35.48077952,-97.5015588,GOVERNMENT - STATE
-89.95787808,41.80893488,16161270,MORRISON COMMUNITY HOSPITAL,303 N JACKSON STREET,MORRISON,IL,(815) 772-4003,CRITICAL ACCESS,WHITESIDE,USA,41.80893488,-89.95787808,GOVERNMENT - DISTRICT/AUTHORITY
