Region,Snake,Category,latitude,longitude
Alabama,Florida green water snake,Non Venomous,31.0128,-86.3505
Alabama,Diamondback water snake,Non Venomous,31.3001,-87.027
Alabama,Midland water snake,Non Venomous,30.2525,-88.1438
Alabama,Brown water snake,Non Venomous,33.2846,-86.8756
Alabama,Rough green snake,Non Venomous,33.0813,-86.8799
Alabama,Corn snake,Non Venomous,31.3074,-87.4992
Alabama,Black rat snake,Non Venomous,32.4166,-87.0336
Alabama,Black pine snake,Non Venomous,30.4122,-87.432
Alabama,Northern pine snake,Non Venomous,31.7666,-88.0861
Alabama,Florida pine snake,Non Venomous,33.4674,-87.0392
Alabama,Gulf crayfish snake,Non Venomous,30.8903,-88.01
Alabama,Queen snake,Non Venomous,33.6404,-86.5818
Alabama,Pine woods snake,Non Venomous,34.0641,-86.2864
Alabama,North Florida swamp snake,Non Venomous,34.7559,-87.7007
Alabama,Southern ringneck snake,Non Venomous,33.2196,-86.882
Alabama,Mississippi ringneck snake,Non Venomous,33.1932,-86.6115
Alabama,Eastern indigo snake,Non Venomous,33.6521,-87.0569
Alabama,Gray rat snake,Non Venomous,34.3674,-86.2635
Alabama,Western mud snake,Non Venomous,32.3784,-87.0074
Alabama,Rainbow snake,Non Venomous,34.5374,-86.0899
Alabama,Eastern hognose snake,Non Venomous,34.719,-85.965
Alabama,Southern hognose snake,Non Venomous,31.0437,-85.8764
Alabama,Prairie kingsnake,Non Venomous,31.3149,-85.455
Alabama,Mole kingsnake,Non Venomous,33.125,-86.7451
Alabama,Scarlet kingsnake,Non Venomous,31.3501,-85.3523
Alabama,Eastern kingsnake,Non Venomous,32.8746,-86.1159
Alabama,Speckled kingsnake,Non Venomous,30.7257,-87.8601
Alabama,Black kingsnake,Non Venomous,31.3276,-85.8459
Alabama,Eastern milk snake,Non Venomous,34.5816,-85.9849
Alabama,Red milk snake,Non Venomous,32.4754,-86.1375
Alabama,Eastern coachwhip,Non Venomous,33.1254,-86.8482
Arizona,Arizona Long-nosed Snake,Non Venomous,34.3199,-111.3051
Arizona,Arizona Milk Snake,Non Venomous,36.9221,-109.0753
Arizona,Arizona mountain kingsnake,Non Venomous,35.4227,-113.6486
Arizona,Arizona Patch-nosed Snake,Non Venomous,33.3858,-112.3236
Arizona,Banded Leafnose Snake,Non Venomous,33.8461,-109.1432
Arizona,Black-necked Garter Snake,Non Venomous,31.6858,-109.6896
Arizona,Blind snake,Non Venomous,33.9965,-109.9593
Arizona,Checkered Garter Snake,Non Venomous,36.592,-111.1071
Arizona,Coachwhip snake (Red Racer),Non Venomous,33.1427,-111.7853
Arizona,Common Kingsnake,Non Venomous,31.8992,-110.2251
Arizona,Desert Kingsnake,Non Venomous,35.2171,-112.4913
Arizona,Glossy Snake,Non Venomous,33.9921,-114.4046
Arizona,Ground Snake,Non Venomous,32.6452,-114.7067
Arizona,Desert Rosy Boa Snake,Non Venomous,34.4141,-110.5696
Arizona,Saddled Leafnose Snake,Non Venomous,32.0596,-111.2865
Arizona,Sonoran Gopher Snake,Non Venomous,35.3256,-112.8573
Arizona,Western Hognose Snake,Non Venomous,33.1416,-111.981
Arizona,Arizona coral snake,Venomous,35.7534,-109.6248
Arizona,Banded Burrowing Snake,Venomous,36.125,-111.2467
Arizona,Sidewinder Rattlesnake,Venomous,33.6618,-111.1295
Arizona,Grand Canyon Rattlesnake,Venomous,35.0252,-110.7098
Arizona,Arizona Black Rattlesnake,Venomous,34.5714,-114.3926
Arizona,Great Basin Rattlesnake,Venomous,33.6872,-111.8651
Arizona,Tiger Rattlesnake,Venomous,33.4017,-111.7181
Arizona,Hopi Rattlesnake,Venomous,34.0053,-109.4611
Arizona,Lyre snake,Venomous,34.321,-111.0838
Arizona,Mojave Rattlesnake,Venomous,33.4484,-112.2561
Arizona,Night Snake,Venomous,33.0404,-112.0006
Arizona,Northern Blacktail Rattlesnake,Venomous,33.7826,-110.0328
Arizona,Prairie Rattlesnake,Venomous,31.941,-111.7765
Arizona,Arizona ridge-nosed rattlesnake,Venomous,34.0709,-112.122
Arizona,Southwestern Blackhead Snake,Venomous,35.3401,-113.7256
Arizona,Speckled Rattlesnake,Venomous,35.2645,-114.0091
Arizona,Western Coral snake,Venomous,32.3923,-112.8839
Arizona,Western Diamondback Rattlesnake,Venomous,33.68,-112.4524
Arizona,Western Shovel-nosed Snake,Venomous,33.6693,-112.3575
Arizona,Brown vine snake,Venomous,35.5904,-114.2852
Arizona,Tropical Vine Snake,Venomous,32.4355,-111.1558
Arkansas,Northern Scarlet Snake,Non Venomous,36.4365,-90.3907
Arkansas,Eastern Racer,Non Venomous,34.7926,-92.1959
Arkansas,Prairie Kingsnake,Non Venomous,35.2899,-93.7236
Arkansas,Speckled Kingsnake,Non Venomous,35.2267,-90.3241
Arkansas,Milk Snake,Non Venomous,36.4291,-94.3713
Arkansas,Eastern Coachwhip,Non Venomous,35.8592,-90.026
Arkansas,Rough Green Snake,Non Venomous,36.4128,-92.9068
Arkansas,Western Rat Snake,Non Venomous,36.1642,-94.2457
Arkansas,Corn Snake,Non Venomous,33.3528,-93.295
Arkansas,Ground Snake,Non Venomous,35.277,-91.6411
Arkansas,Flathead Snake,Non Venomous,35.1041,-90.3053
Arkansas,Worm Snake,Non Venomous,35.3123,-91.5709
Arkansas,Western Worm Snake,Non Venomous,36.2959,-91.5696
Arkansas,Ringneck Snake,Non Venomous,36.2896,-93.3038
Arkansas,Mississippi Green Water Snake,Non Venomous,35.1119,-91.8253
Arkansas,Plainbelly Water Snake,Non Venomous,35.402,-90.7545
Arkansas,Broad-banded Water Snake,Non Venomous,36.1612,-92.1065
Arkansas,Diamondback Water Snake,Non Venomous,34.2602,-92.961
Arkansas,Midland Water Snake,Non Venomous,34.7737,-90.7674
Arkansas,Grahams Crayfish Snake,Non Venomous,34.8899,-91.1902
Arkansas,Gulf crayfish snake,Non Venomous,35.3285,-94.2793
Arkansas,Queen Snake,Non Venomous,35.2629,-90.5528
Arkansas,Midland Brown Snake,Non Venomous,33.6278,-93.2348
Arkansas,Redbelly Snake,Non Venomous,35.0129,-91.9571
Arkansas,Western Ribbon Snake,Non Venomous,33.9171,-92.85
Arkansas,Common Garter Snake,Non Venomous,35.8152,-89.9465
Arkansas,Rough Earth Snake,Non Venomous,36.2721,-92.2824
Arkansas,Western Earth Snake,Non Venomous,34.705,-92.2296
Arkansas,Western Mud Snake,Non Venomous,33.3479,-93.2084
Arkansas,Eastern Hognose Snake,Non Venomous,35.8008,-94.1303
Arkansas,Eastern Corn Snake,Non Venomous,36.2263,-94.1282
Arkansas,Midland Rat Snake,Non Venomous,36.4667,-94.2707
Arkansas,Bullsnake,Non Venomous,35.2954,-94.0463
Arkansas,Northern Pine Snake,Non Venomous,34.1192,-91.3789
Arkansas,Lined Snake,Non Venomous,34.9777,-91.5068
Arkansas,Southern Copperhead,Venomous,33.5113,-93.5671
Arkansas,Western Cottonmouth,Venomous,35.328,-93.2417
Arkansas,Western Diamondback Rattlesnake,Venomous,34.4055,-92.8091
Arkansas,Timber Rattlesnake,Venomous,33.7388,-94.148
Arkansas,Western Pigmy Rattlesnake,Venomous,34.4429,-92.1843
Arkansas,Texas Coral Snake,Venomous,35.3671,-92.4106
California,Eastern Worm Snake,Non Venomous,38.675,-121.049
California,Scarlet snake,Non Venomous,36.379,-119.0312
California,Black racer,Non Venomous,38.2436,-122.956
California,Northern ringneck snake,Non Venomous,36.3795,-119.2956
California,Southern ringneck snake,Non Venomous,40.3987,-123.9474
California,Corn snake,Non Venomous,36.964,-120.0803
California,Black rat snake,Non Venomous,39.4429,-123.3963
California,Yellow rat snake,Non Venomous,38.7173,-122.9034
California,Eastern mud snake,Non Venomous,37.4306,-120.7759
California,Rainbow Snake,Non Venomous,33.8002,-117.9935
California,Eastern hognose snake,Non Venomous,38.8356,-122.723
California,Southern hognose snake,Non Venomous,38.419,-120.8232
California,Mole king snake,Non Venomous,38.1133,-122.2359
California,Eastern king snake,Non Venomous,37.0555,-122.0118
California,Scarlet King snake,Non Venomous,37.4797,-119.6374
California,Eastern milk snake,Non Venomous,32.8439,-116.7585
California,Eastern coachwhip,Non Venomous,33.9716,-117.8911
California,Redbelly water snake,Non Venomous,39.2138,-120.8033
California,Banded water snake,Non Venomous,39.3718,-121.106
California,Florida green water snake,Non Venomous,35.6411,-118.4047
California,Banded water snake,Non Venomous,35.4794,-119.2013
California,Midland water snake,Non Venomous,33.3548,-115.7306
California,Northern water snake,Non Venomous,37.9884,-122.595
California,Brown water snake,Non Venomous,40.8005,-121.9375
California,Rough green snake,Non Venomous,34.0381,-118.0026
California,Pine snake,Non Venomous,38.8926,-121.9741
California,Glossy crayfish snake,Non Venomous,36.1438,-119.0612
California,Queen snake,Non Venomous,33.9566,-118.3444
California,Pine woods snake,Non Venomous,35.368,-117.6607
California,California Kingsnake,Non Venomous,32.8033,-116.9056
California,California Mountain kingsnake,Non Venomous,37.586,-122.3669
California,California Striped Whipsnake,Non Venomous,40.0059,-120.9525
California,Gopher Snake,Non Venomous,38.1218,-121.2933
California,Aquatic Garter Snake,Non Venomous,34.2819,-119.1452
California,Terrestrial Garter Snake,Non Venomous,38.1939,-120.379
California,Northwestern Garter SnakeCarolina Swamp Snake,Non Venomous,36.6247,-121.6465
California,Brown snake,Non Venomous,33.9336,-118.0311
California,Florida redbelly snake,Non Venomous,35.0164,-117.6659
California,Redbelly Snake,Non Venomous,33.9797,-116.9694
California,Northern redbelly snake,Non Venomous,37.434,-121.8921
California,Southeastern Crown Snake,Non Venomous,33.8724,-117.4624
California,Peninsula ribbon snake,Non Venomous,36.294,-119.1459
California,Eastern Ribbon Snake,Non Venomous,33.9356,-116.6873
California,Eastern Garter snake,Non Venomous,35.6546,-117.8213
California,Rough earth snake,Non Venomous,39.4261,-121.3542
California,Eastern smooth earth snake,Non Venomous,36.8722,-121.8101
California,Northern Rubber Boa,Non Venomous,41.1964,-120.9494
California,Southern Rubber Boa,Non Venomous,35.7309,-120.8702
California,Rosy Boa,Non Venomous,39.2788,-121.6624
California,Copperhead snake,Venomous,41.6086,-122.8409
California,Cottonmouth snake,Venomous,38.574,-121.2523
California,Eastern diamondback,Venomous,38.112,-122.519
California,Timber rattlesnake,Venomous,33.8895,-118.3972
California,Eastern coral snake,Venomous,34.4382,-119.6286
California,Dusky pigmy rattlesnake,Venomous,34.0739,-118.0291
California,Carolina pigmy rattlesnake,Venomous,32.8189,-116.9479
California,Diamondback Rattlesnake,Venomous,40.5511,-122.2363
California,Mojave Desert Sidewinder,Venomous,37.5154,-122.2955
California,Colorado Desert Sidewinder,Venomous,38.8672,-121.7055
Colorado,Blind Snake,Non Venomous,37.2574,-105.9007
Colorado,Glossy Snake,Non Venomous,39.7084,-104.7274
Colorado,Racer,Non Venomous,38.2351,-104.3434
Colorado,Ringneck Snake: Secure,Non Venomous,37.6877,-106.586
Colorado,Great Plains Rat Snake Common,Non Venomous,38.6086,-106.5164
Colorado,Western Hognose Snake,Non Venomous,38.5524,-106.0085
Colorado,Night Snake,Non Venomous,39.3038,-102.4234
Colorado,Common Kingsnake,Non Venomous,39.7406,-105.2118
Colorado,Milk Snake,Non Venomous,38.945,-105.1619
Colorado,Green Snake,Non Venomous,37.8488,-106.9252
Colorado,Coachwhip,Non Venomous,40.6831,-102.1725
Colorado,Striped Whipsnake,Non Venomous,40.0726,-105.5136
Colorado,Watersnake,Non Venomous,38.1286,-108.2918
Colorado,Bullsnake/Gophersnake,Non Venomous,40.8691,-104.2259
Colorado,Longnose Snake,Non Venomous,38.0014,-103.5549
Colorado,Ground Snake,Non Venomous,39.7366,-104.4286
Colorado,Black-headed Snake,Non Venomous,40.0189,-105.4078
Colorado,Garter Snake,Non Venomous,37.3861,-102.2801
Colorado,Arid Land Ribbonsnake,Non Venomous,39.2189,-104.5403
Colorado,Brown Snake,Non Venomous,39.9709,-105.1441
Colorado,Lined Snake,Non Venomous,39.36,-104.6072
Colorado,Rubber Boa,Non Venomous,40.0341,-105.2058
Colorado,Prairie Rattlesnake,Venomous,38.1063,-102.956
Colorado,Midget Faded Rattlesnake,Venomous,40.5826,-102.2985
Colorado,Massasauga,Venomous,39.7621,-104.8759
Colorado,Western Diamondback Rattlesnake,Venomous,39.9873,-105.4557
Connecticut,Black Racer,Non Venomous,41.5832,-72.8915
Connecticut,Northern Brown Snake,Non Venomous,41.8808,-72.8111
Connecticut,Eastern Ratsnake,Non Venomous,41.1144,-73.4215
Connecticut,Garternake,Non Venomous,41.7736,-72.3287
Connecticut,Hog-nosed Snake,Non Venomous,41.6342,-72.4692
Connecticut,Milksnake,Non Venomous,41.1918,-73.1953
Connecticut,Northern Watersnake,Non Venomous,41.1035,-73.5583
Connecticut,Red-bellied Snake,Non Venomous,41.9899,-72.5256
Connecticut,Ribbonsnake,Non Venomous,41.3502,-72.1023
Connecticut,Ring-necked Snake,Non Venomous,41.3823,-72.4386
Connecticut,mooth Greensnake,Non Venomous,41.7457,-73.1893
Connecticut,Worm Snake,Non Venomous,41.5923,-73.0858
Connecticut,Black Rat Snake,Non Venomous,41.3265,-73.0833
Connecticut,Eastern Wormsnake,Non Venomous,41.3379,-72.0175
Connecticut,Eastern Ribbonsnake,Non Venomous,41.3552,-72.391
Connecticut,Eastern Hog-nosed Snake,Non Venomous,41.0253,-73.5692
Connecticut,Copperhead,Venomous,41.7695,-72.3064
Connecticut,Timber Rattlesnake,Venomous,41.5367,-72.7944
Delaware,Northern ringneck snakes,Non Venomous,38.4603,-75.0542
Delaware,Eastern worm snake,Non Venomous,38.4651,-75.5552
Delaware,Eastern smooth earth snake,Non Venomous,39.8056,-75.4862
Delaware,Northern brown snakes,Non Venomous,38.8699,-75.579
Delaware,Red-bellied snakes,Non Venomous,39.0127,-75.5764
Delaware,Northern water snake,Non Venomous,39.1683,-75.7125
Delaware,The plain-belly water snake,Non Venomous,39.7485,-75.6953
Delaware,The queen snake,Non Venomous,38.5353,-75.1287
Delaware,Eastern garter snake,Non Venomous,39.1162,-75.5216
Delaware,Eastern ribbon snake,Non Venomous,39.0999,-75.5048
Delaware,Corn snakes,Non Venomous,39.1661,-75.4481
Delaware,Black rat snakes,Non Venomous,39.0714,-75.476
Delaware,Black racers,Non Venomous,39.7783,-75.6049
Delaware,Eastern kingsnakes,Non Venomous,39.7385,-75.5946
Delaware,Coral snake,Non Venomous,38.9244,-75.5707
Delaware,Scarlet kingsnake,Non Venomous,38.6539,-75.6117
Delaware,The eastern milksnake,Non Venomous,39.1179,-75.4839
Delaware,Coastal plains milk snake,Non Venomous,38.5466,-75.2467
Delaware,scarlet snake,Non Venomous,38.9091,-75.4224
Delaware,Hognose snakes,Non Venomous,38.7247,-75.6027
Delaware,Rough green snakes,Non Venomous,39.7669,-75.4982
Delaware,Northern pine snake,Non Venomous,39.2922,-75.6076
Delaware,The northern copperhead,Venomous,39.6858,-75.5849
Florida,Brahminy Blind Snake,Non Venomous,25.2574,-80.3242
Florida,Boa Constrictor,Non Venomous,29.6092,-82.8146
Florida,Brazilian Rainbow Boa,Non Venomous,26.1593,-80.1395
Florida,Amazon Tree Boa,Non Venomous,30.7826,-87.2309
Florida,Burmese Python,Non Venomous,28.7893,-81.276
Florida,Ball Python,Non Venomous,26.2057,-80.2549
Florida,Green Tree Python,Non Venomous,30.0472,-81.7855
Florida,Corn Snake,Non Venomous,30.6332,-85.5874
Florida,Mud Snake,Non Venomous,30.4127,-86.6588
Florida,Ribbon Snake,Non Venomous,28.469,-82.5999
Florida,Rainbow Snake,Non Venomous,25.8787,-80.125
Florida,Black Rat Snake,Non Venomous,29.7925,-82.1663
Florida,Common Garter Snake,Non Venomous,30.19,-81.3704
Florida,Rough Green Snake,Non Venomous,28.6928,-80.8468
Florida,Pine Snake,Non Venomous,26.6815,-80.1265
Florida,Redbelly Snake,Non Venomous,30.6838,-86.994
Florida,Eastern Racer,Non Venomous,26.3218,-80.2533
Florida,Southern black racer,Non Venomous,28.4727,-81.4169
Florida,Scarlet Snake,Non Venomous,30.9343,-87.0246
Florida,American Brown Snake,Non Venomous,30.529,-86.4753
Florida,Rough Earth Snake,Non Venomous,28.183,-82.1539
Florida,Smooth Earth Snake,Non Venomous,30.964,-86.4561
Florida,Florida Crown Snake,Non Venomous,30.8418,-86.887
Florida,Southeastern Crown Snake,Non Venomous,28.5474,-82.5206
Florida,Rim Rock Crown Snake,Non Venomous,28.2118,-82.7504
Florida,Swamp Snake,Non Venomous,27.7065,-82.4209
Florida,Short-tailed Snake,Non Venomous,25.7241,-80.339
Florida,Queen Snake,Non Venomous,30.4992,-84.4582
Florida,Striped Crayfish Snake,Non Venomous,25.8216,-80.2417
Florida,Glossy Crayfish Snake,Non Venomous,26.8486,-80.166
Florida,Pine Woods Snake,Non Venomous,30.7943,-85.226
Florida,Common Kingsnake,Non Venomous,30.477,-83.7604
Florida,Mole Kingsnake,Non Venomous,28.7754,-81.3721
Florida,Scarlet Kingsnake,Non Venomous,27.9087,-82.7162
Florida,Salt Marsh Snake,Non Venomous,30.2956,-82.9847
Florida,Gulf Salt Marsh Snake,Non Venomous,27.6378,-80.4855
Florida,Green Water Snake,Non Venomous,27.3328,-82.4616
Florida,Brown Water Snake,Non Venomous,28.4651,-81.374
Florida,Banded Water Snake,Non Venomous,27.8832,-82.3593
Florida,Midland Water Snake,Non Venomous,30.0282,-84.3936
Florida,Plainbelly Water Snake,Non Venomous,30.1148,-85.1935
Florida,Coachwhip,Non Venomous,27.2254,-82.4944
Florida,Ringneck Snake,Non Venomous,27.9942,-82.4451
Florida,Eastern Indigo Snake,Non Venomous,27.2161,-80.24
Florida,Eastern Hognose Snake,Non Venomous,30.2549,-85.9511
Florida,Southern Hognose Snake,Non Venomous,28.8815,-81.324
Florida,Southern Copperhead,Venomous,26.0463,-80.2862
Florida,Florida Cottonmouth,Venomous,28.8006,-82.3372
Florida,Eastern Cottonmouth,Venomous,30.4158,-87.3028
Florida,Eastern Diamondback Rattlesnake,Venomous,29.4479,-82.468
Florida,Timber Rattlesnake,Venomous,26.0889,-81.7031
Florida,Pygmy Rattlesnake,Venomous,27.8155,-82.7162
Florida,coral snake,Venomous,30.9505,-85.4025
Georgia,Worm Snake (Carphophis amoenus),Non Venomous,34.8741,-85.5096
Georgia,Scarlet Snake (Cemophora coccinea),Non Venomous,33.9103,-83.218
Georgia,Black Racer (Coluber constrictor),Non Venomous,34.0933,-83.7617
Georgia,Ringneck Snake (Diadophis punctatus),Non Venomous,30.8394,-83.9783
Georgia,Indigo Snake (Drymarchon corais),Non Venomous,32.0635,-82.8968
Georgia,Corn Snake (Pantherophis guttatus),Non Venomous,34.2859,-83.1097
Georgia,Rat Snake (Pantherophis obsoletus),Non Venomous,32.1043,-81.2568
Georgia,Mud Snake (Farancia abacura),Non Venomous,33.0909,-82.0146
Georgia,Rainbow Snake (Farancia erytrogramma),Non Venomous,34.3095,-83.6381
Georgia,Eastern Hognose Snake (Heterodon platirhinos),Non Venomous,34.1354,-83.9763
Georgia,Southern Hognose Snake (Heterodon simus),Non Venomous,33.9917,-83.7218
Georgia,Mole Kingsnake (Lampropeltis calligaster),Non Venomous,34.9318,-85.246
Georgia,Eastern Kingsnake (Lampropeltis getula),Non Venomous,31.7715,-81.6216
Georgia,Milk Snake (Lampropeltis triangulum),Non Venomous,34.6437,-83.7411
Georgia,Scarlet Kingsnake (Lampropeltis triangulum elapsoides),Non Venomous,33.1934,-82.5287
Georgia,Coachwhip (Masticophis flagellum),Non Venomous,33.7555,-83.1737
Georgia,Redbelly Water Snake (Nerodia erythrogaster),Non Venomous,33.4773,-84.36
Georgia,Banded Water Snake (Nerodia fasciata),Non Venomous,31.8003,-81.419
Georgia,Green Water Snake (Nerodia floridana),Non Venomous,33.7811,-84.6486
Georgia,Northern Water Snake (Nerodia sipedon),Non Venomous,32.1613,-81.9093
Georgia,Brown Water Snake (Nerodia taxispilota),Non Venomous,33.8842,-84.3008
Georgia,Rough Green Snake (Opheodrys aestivus),Non Venomous,33.326,-84.6371
Georgia,Pine Snake (Pituophis melanoleucus),Non Venomous,31.6248,-82.8877
Georgia,Striped Crayfish Snake (Regina alleni),Non Venomous,31.0683,-83.6236
Georgia,Glossy Crayfish Snake (Regina rigida),Non Venomous,34.8497,-85.0395
Georgia,Queen snake (Regina septemvittata),Non Venomous,33.4626,-82.7055
Georgia,Pine Woods Snake (Rhadinaea flavilata),Non Venomous,30.8756,-84.4312
Georgia,Black Swamp Snake (Seminatrix pygaea),Non Venomous,33.7931,-82.4776
Georgia,Brown Snake (Storeria dekayi),Non Venomous,34.9196,-83.3854
Georgia,Red-bellied Snake (Storeria occipitomaculata),Non Venomous,32.9954,-82.4
Georgia,Florida Brown Snake (Storeria victa),Non Venomous,32.8866,-83.3349
Georgia,Southeastern Crowned Snake (Tantilla coronata),Non Venomous,32.5306,-82.592
Georgia,Central Florida Crowned Snake (Tantilla relicta),Non Venomous,33.967,-84.2319
Georgia,Eastern Ribbon Snake (Thamnophis sauritus),Non Venomous,34.4835,-85.4776
Georgia,Eastern Garter Snake(Thamnophis sirtalis),Non Venomous,33.4262,-82.3127
Georgia,Rough Earth Snake (Virginia striatula),Non Venomous,34.0507,-84.0687
Georgia,Smooth Earth Snake (Virginia valeriae),Non Venomous,31.2988,-84.717
Georgia,Carolina Pygmy Rattlesnake,Venomous,31.5441,-82.4145
Georgia,Dusky Pygmy Rattlesnake,Venomous,33.8674,-82.742
Georgia,Eastern Coral Snake,Venomous,32.1713,-82.3298
Georgia,Eastern Cottonmouth,Venomous,31.3358,-83.0446
Georgia,Eastern Diamondback Rattlesnake,Venomous,34.9015,-84.9646
Georgia,Florida Cottonmouth,Venomous,32.8816,-82.4712
Georgia,Northern Copperhead,Venomous,33.0918,-84.4385
Georgia,Southern Copperhead,Venomous,32.0194,-83.0631
Georgia,Timber Rattlesnake,Venomous,33.5739,-83.894
Georgia,Western Cottonmouth,Venomous,33.4007,-83.5884
Hawaii,The Brahminy Blind Snake,Non Venomous,20.9188,-156.5063
Hawaii,The yellow-bellied sea snake,Venomous,21.3145,-158.0289
Hawaii,The brown tree snake,Venomous,21.3288,-157.6975
Idaho,Rubber Boa,Non Venomous,42.4097,-113.5805
Idaho,Eastern Racer,Non Venomous,43.2235,-112.3755
Idaho,Striped Whip-snake,Non Venomous,48.3091,-116.539
Idaho,Gophersnake,Non Venomous,42.659,-111.5877
Idaho,Long-nose Snake,Non Venomous,42.7183,-114.5159
Idaho,Ground Snake,Non Venomous,48.1782,-116.8842
Idaho,The Common Garter Snake,Non Venomous,42.2273,-111.4032
Idaho,Prairie Rattlesnake,Venomous,46.9282,-116.8896
Idaho,Northern Pacific Rattlesnake,Venomous,43.8872,-111.6724
Idaho,Ringneck Snake,Venomous,42.6504,-112.1901
Idaho,Night Snake,Venomous,46.614,-116.6542
Idaho,Terrestrial Garter Snake,Venomous,46.4866,-116.2568
Illinois,Eastern Wormsnake,Non Venomous,38.607,-89.6844
Illinois,Scarletsnake,Non Venomous,40.6537,-88.3999
Illinois,Kirtlands Snake,Non Venomous,40.0941,-87.6398
Illinois,Eastern Racer,Non Venomous,38.3256,-88.7366
Illinois,Ring-necked Snake,Non Venomous,39.1258,-89.8173
Illinois,Gray Ratsnake,Non Venomous,39.1689,-87.673
Illinois,Western Foxsnake,Non Venomous,41.0486,-89.0522
Illinois,Mudsnake,Non Venomous,39.6148,-87.6905
Illinois,Western Hog-nosed Snake,Non Venomous,37.9721,-89.1111
Illinois,Eastern Hog-nosed Snake,Non Venomous,38.8676,-88.8505
Illinois,Prairie Kingsnake,Non Venomous,40.8784,-88.2696
Illinois,Common Kingsnake,Non Venomous,41.7637,-88.2901
Illinois,Milk Snake,Non Venomous,39.8044,-87.6752
Illinois,Coachwhip,Non Venomous,42.1347,-87.7641
Illinois,Mississippi Green Watersnake,Non Venomous,40.4857,-89.0993
Illinois,Plain-bellied Watersnake,Non Venomous,40.534,-89.3556
Illinois,Southern Watersnake,Non Venomous,41.0904,-90.4748
Illinois,Diamondback Watersnake,Non Venomous,42.0956,-87.9825
Illinois,Northern Watersnake,Non Venomous,41.517,-87.6924
Illinois,Rough Greensnake,Non Venomous,38.4449,-87.9975
Illinois,Smooth Greensnake,Non Venomous,39.4774,-88.3627
Illinois,Great Plains Ratsnake,Non Venomous,38.3188,-89.8743
Illinois,Gophersnake,Non Venomous,41.4399,-87.6231
Illinois,Grahams Crayfish Snake,Non Venomous,40.5709,-88.2471
Illinois,Queen Snake,Non Venomous,40.935,-89.7547
Illinois,Dekays Brownsnake,Non Venomous,39.029,-89.5247
Illinois,Red-bellied Snake,Non Venomous,39.8842,-91.1084
Illinois,Flat-headed Snake,Non Venomous,41.3573,-89.7372
Illinois,Western Ribbonsnake,Non Venomous,37.9579,-88.8356
Illinois,Plains Gartersnake,Non Venomous,42.4302,-90.1642
Illinois,Eastern Ribbonsnake,Non Venomous,40.6734,-89.5419
Illinois,Common Gartersnake,Non Venomous,40.4959,-89.6525
Illinois,Lined Snake,Non Venomous,40.5162,-88.0759
Illinois,Eastern Smooth Earthsnake,Non Venomous,42.45,-89.0631
Illinois,Northern Copperhead,Venomous,37.3599,-89.1654
Illinois,Osage Copperhead,Venomous,39.5919,-89.4258
Illinois,Western Cottonmouth,Venomous,42.2221,-88.9716
Illinois,Timber Rattlesnake,Venomous,42.4028,-88.2117
Illinois,Massasauga,Venomous,41.145,-88.0539
Indiana,Butlers Gartersnake,Non Venomous,40.0428,-86.8975
